_get_feedback | HELPER | Shared | Coordinates services.learning.behavior_tracker, services.learning.feedback_interpreter. | None identified | MAIN
_abandoned_registration_cleanup_interval | HELPER | Shared | Seconds between abandoned-registration cleanup cycles (min 60s). | None identified | MAIN
_cancel_and_wait | HELPER | Shared | Cancel background tasks and await them with a bounded timeout. | None identified | MAIN
lifespan | ORCHESTRATION | Shared | Coordinates asyncio, os, services.communication.communication_store, and other services. | services/communication/** | services/communication/**
require_web_session_auth | BUSINESS-LOGIC | Identity/Auth | PR10.8.3.1: every /api/web/session/... | services/identity/** | services/identity/**
_IDENTITY_STATUS | STATE | Application State | In-process main.py state: {AuthenticationException: 401, EmailAlreadyExistsException: 409, RefreshTokenExpiredException: 401, RefreshTokenRevokedE. | services/workspace_state.py / durable repositories where applicable | MAIN
_embed_delta_into_snapshot | HELPER | Workspace | Embed delta metadata into snapshot for Executive Brief consumption. | services/workspace_context.py / services/workspace_state.py | services/workspace_context.py / services/workspace_state.py
_identity_status | AUTH | Identity/Auth | Local application helper or response-shaping logic. | services/identity/** | services/identity/**
_FAIL_LABELS | STATE | Application State | In-process main.py state: {'RefreshTokenRevokedException': 'replay', 'RefreshTokenExpiredException': 'fail', 'InvalidCredentialsException': 'fail'. | services/workspace_state.py / durable repositories where applicable | MAIN
_record_auth_metric | HELPER | Identity/Auth | Coordinates services.identity.metrics. | services/identity/** | services/identity/**
_SAFE_IDENTITY_MESSAGES | STATE | Application State | In-process main.py state: {'EmailAlreadyExistsException': 'An account with this email already exists', 'UserNotFoundException': 'User not found', . | services/workspace_state.py / durable repositories where applicable | MAIN
_safe_identity_message | AUTH | Identity/Auth | Client-safe message that never echoes or discloses internals. | services/identity/** | services/identity/**
identity_exception_handler | AUTH | Identity/Auth | Coordinates services.identity.schemas, starlette.responses. | services/identity/** | services/identity/**
unhandled_exception_handler | BUSINESS-LOGIC | Shared | Production-safe catch-all for unexpected exceptions. | None identified | MAIN
http_exception_handler | BUSINESS-LOGIC | Provider/OAuth | Sanitize server-error (5xx) responses end to end. | services/communication/** / services/identity/** | services/communication/** / services/identity/**
_credential_registry | STATE | Application State | In-process main.py state: CredentialRegistry(). | services/workspace_state.py / durable repositories where applicable | MAIN
_execution_adapter_registry | STATE | Application State | In-process main.py state: ExecutionAdapterRegistry(). | services/workspace_state.py / durable repositories where applicable | MAIN
batch_jobs | STATE | Application State | In-process main.py state: {}. | services/workspace_state.py / durable repositories where applicable | MAIN
draft_store | STATE | Application State | In-process main.py state: {}. | services/workspace_state.py / durable repositories where applicable | MAIN
campaign_store | STATE | Application State | In-process main.py state: {}. | services/workspace_state.py / durable repositories where applicable | MAIN
STRATEGY_JOBS | STATE | Application State | In-process main.py state: {}. | services/workspace_state.py / durable repositories where applicable | MAIN
_create_batch_job | JOBS | Campaigns | Coordinates datetime. | Campaign application service (not yet extracted) | Campaign application service (not yet extracted)
_launch_batch_task | HELPER | Identity/Auth | Start a draft batch and retain the task so it survives GC mid-run. | services/identity/** | services/identity/**
_reconcile_campaign_generation | HELPER | Campaigns | Resolve a campaign whose draft batch was interrupted. | Campaign application service (not yet extracted) | Campaign application service (not yet extracted)
_reconcile_stale_generating_campaigns | HELPER | Campaigns | One-shot startup recovery for draft batches interrupted by a restart. | Campaign application service (not yet extracted) | Campaign application service (not yet extracted)
_campaign_generation_still_processing | HELPER | Campaigns | Re-read the campaign's generation right before reconciling. | Campaign application service (not yet extracted) | Campaign application service (not yet extracted)
STALE_SEARCH_JOB_GRACE_SECONDS | STATE | Application State | In-process main.py state: 300. | services/workspace_state.py / durable repositories where applicable | MAIN
_reconcile_stale_search_jobs | JOBS | Discovery/Jobs | One-shot startup recovery for search jobs/discoveries interrupted by a restart. | services/job_engine/** / workflow_dispatcher.py | services/job_engine/** / workflow_dispatcher.py
_build_copilot_workspace_context | WORKSPACE | Copilot | Coordinates services.communication.communication_store, services.communication.provider_registry, services.conversation_memory, and other services. | services/communication/** | services/communication/**
_parse_draft_body | HELPER | Drafts/Outbound | Local application helper or response-shaping logic. | services/outbound/** | services/outbound/**
_find_outbound_gmail_provider_id | HELPER | Drafts/Outbound | Find the first registered Gmail outbound provider instance ID. | services/outbound/** | services/outbound/**
_provider_owned_by | HELPER | Provider/OAuth | True only when the provider instance is registered and belongs to the durable workspace owner. | services/communication/** | services/communication/**
_provider_record_owned_by | HELPER | Provider/OAuth | True when the communication-store record for ``provider_id`` belongs to ``owner_id``. | services/communication/** | services/communication/**
_outbound_draft_owned_by | HELPER | Drafts/Outbound | True only when the outbound draft provably belongs to ``owner_id``. | services/communication/** | services/communication/**
_require_canonical_outbound_draft | HELPER | Drafts/Outbound | Resolve an authenticated workspace-scoped canonical Draft. | services/outbound/** | services/outbound/**
_conversation_owned_by | HELPER | Provider/OAuth | True only when the conversation provably belongs to ``owner_id``. | services/communication/** | services/communication/**
_conversation_in_workspace | WORKSPACE | Inbox/Conversations | Fail closed unless a durable Inbox snapshot belongs to this workspace. | services/conversations/** / services/communication/** | services/conversations/** / services/communication/**
_resolve_owner_gmail_provider | HELPER | Drafts/Outbound | Resolve the workspace owner's current connected Gmail provider. | services/communication/**; services/outbound/** | services/communication/**; services/outbound/**
_register_outbound_gmail_instance | HELPER | Drafts/Outbound | Create and register a GmailOutboundProvider instance from a connected communication provider. | services/communication/**; services/outbound/** | services/communication/**; services/outbound/**
_restore_providers_on_startup | PERSISTENCE | Provider/OAuth | On startup, load saved provider credentials from Supabase and restore instances. | services/communication/**; services/outbound/** | services/communication/**; services/outbound/**
_get_outbound_provider_for_draft | HELPER | Drafts/Outbound | Get a working outbound provider ID for a draft. | services/outbound/** | services/outbound/**
_resolve_provider_for_conversation | HELPER | Drafts/Outbound | Resolve the connected Gmail provider used to send a conversation reply. | services/communication/**; services/outbound/** | services/communication/**; services/outbound/**
_sync_draft_to_outbound | ORCHESTRATION | Campaigns | Sync a legacy campaign draft into the outbound DraftStore. | services/communication/**; services/outbound/** | services/communication/**; services/outbound/**
_outbound_to_legacy_draft | HELPER | Drafts/Outbound | Convert an outbound DraftMessage back to legacy dict format for backward compat. | services/outbound/** | services/outbound/**
