LOQI R1-A — EXTERNAL CONTRACT FREEZE
Generated from current source and test references; read-only characterization. Date: 2026-08-27.
STATUS LEGEND: VERIFIED = implementation plus direct test reference located; IMPLEMENTED but untested = source route exists but no direct route-level test located; TESTED but implementation path unclear = test reference found but request/response contract is not explicit in source; UNCLEAR/CONTRADICTORY = actual contract has conflicting/implicit behavior.

GLOBAL TRANSPORT / AUTH CONTRACT
• Legacy web-session family (/api/web/session/...): HTTP middleware requires Authorization: Bearer <identity access token or web-session bearer>; path {session_token} is explicitly ignored as a credential. Missing/invalid credentials return {"detail": string}, 401. The creation bootstrap POST /api/web/session is excluded.
• Selected workspace: X-Workspace-Id is optional client input, independently membership-authorized. Multi-workspace/no selection can return 409; legacy owner default fallback remains in _resolved_workspace_id_or_default, so this is an explicit compatibility exception, not universal strict workspace selection.
• Identity routers: Authorization: Bearer opaque identity access-session token, with 401 {"detail": string}; OAuth callbacks use query parameters/state; Stripe webhook uses Stripe-Signature; Telegram webhook authenticity is not evident at route decorator level.
• Request headers observed: Authorization; X-Workspace-Id; X-Timezone (briefing); Stripe-Signature; standard OAuth callback query code/state. No cookie auth is accepted by identity dependency.
• Generic FastAPI validation errors are 422 with detail array. Explicit HTTPException usually serializes as {"detail": string}; unhandled exceptions are framework 500 (shape not explicitly frozen by application).

ROUTE MANIFEST — EVERY DECLARED HTTP ROUTE
Columns: STATUS | METHOD PATH | AUTH/HEADERS | REQUEST | SUCCESS/ERROR CONTRACT | IMPLEMENTATION
IMPLEMENTED but untested | GET / | public | none declared | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:3248 (read_root)
IMPLEMENTED but untested | GET /api/auth/gmail/url | OAuth/provider callback; state/session-derived identity where applicable | request:Request, session_token:str | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:3256 (gmail_auth_url)
IMPLEMENTED but untested | GET /api/auth/gmail/callback | OAuth/provider callback; state/session-derived identity where applicable | code:str, state:str, error:str | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:3514 (gmail_auth_callback)
IMPLEMENTED but untested | GET /health | public | none declared | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:3578 (health)
IMPLEMENTED but untested | POST /webhook | provider-facing Telegram webhook; authentication mechanism not explicit in route | request:Request | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:3591 (telegram_webhook)
IMPLEMENTED but untested | POST /api/web/session | see implementation | payload:CreateWebSessionRequest, request:Request | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:3630 (create_web_session)
IMPLEMENTED but untested | GET /api/web/session/{session_token} | legacy web-session; Bearer middleware; path session token ignored | session_token:str, request:Request | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:3674 (get_web_session)
IMPLEMENTED but untested | GET /api/web/session/{session_token}/messages | legacy web-session; Bearer middleware; path session token ignored | session_token:str, request:Request | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:3683 (get_web_session_messages)
VERIFIED | POST /api/web/session/{session_token}/messages | legacy web-session; Bearer middleware; path session token ignored | session_token:str, payload:SendWebMessageRequest, request:Request | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:3692 (post_web_session_message)
IMPLEMENTED but untested | POST /api/web/session/{session_token}/batch-draft | legacy web-session; Bearer middleware; path session token ignored | session_token:str, payload:BatchDraftRequest, request:Request | 202 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:4491 (batch_draft)
IMPLEMENTED but untested | GET /api/web/session/{session_token}/batch-status/{batch_id} | legacy web-session; Bearer middleware; path session token ignored | session_token:str, batch_id:str, request:Request | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:4504 (batch_status)
IMPLEMENTED but untested | POST /api/web/session/{session_token}/analyze-campaigns | legacy web-session; Bearer middleware; path session token ignored | session_token:str, payload:BatchDraftRequest | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:4518 (analyze_campaigns_endpoint)
